VÉHICULES;PRIX USINE;PRIX VENTE
Coquette Classic;40 000;152 000
Deluxo;4 721 500;17 941 700
Stirling GT;65 000;247 000
GT 500;785 000;2 983 000
Manana;12 800;48 640
Monroe;55 000;209 000
Pigalle;20 000;76 000
Rapid GT3;885 000;3 363 000
Retinue;615 000;2 337 000
Savestra;990 000;3 762 000
Stinger;80 000;304 000
Stinger GT;75 000;285 000
Viseris;875 000;3 325 000
Z190;900 000;3 420 000
Z-Type;220 000;836 000
SUVs;;
Baller;40 000;152 000
Baller Sport;60 000;228 000
Cavalcade;55 000;209 000
Contender;70 000;266 000
Dubsta;45 000;171 000
Dubsta Luxuary;60 000;228 000
Phantom;17 000;64 600
Grabger;50 000;190 000
Gresley;47 500;180 500
Huntley S;40 000;152 000
Landstalker;35 000;133 000
Mesa;16 000;60 800
Mesa Trail;40 000;152 000
Patriot;55 000;209 000
Radius;29 000;110 200
Rocoto;45 000;171 000
Seminole;25 000;95 000
XLS;32 000;121 600
VANS;;
Bison;45 000;171 000
Bobcat XL;32 000;121 600
Burrito;19 000;72 200
Camper;42 000;159 600
Gang Burrito;45 000;171 000
Burrito;29 000;110 200
Journey;6 500;24 700
Minivan;13 000;49 400
Moonbeam;18 000;68 400
Moonbeam Rider;35 000;133 000
Paradise;19 000;72 200
Rumpo;15 000;57 000
Rumpo Trail;19 500;74 100
Surfer;12 000;45 600
Youga;10 800;41 040
Youga Luxury;14 500;55 100
SUPER SPORTIVES;;
Adder;90 000;3 420 000
Autarch;1 955 000;7 429 000
Banshee 900R;255 000;969 000
Bullet;90 000;342 000
Cheetah;375 000;1 425 000
Cyclone;1 890 000;7 182 000
Entity XF;425 000;1 615 000
FMJ;185 000;703 000
Infernus;180 000;684 000
RE-7B;325 000;1 235 000
Oppressor;3 524 500;13 393 100
Osiris;160 000;608 000
Pfister;85 000;323 000
X80 Proto;2 500 000;9 500 000
Reaper;150 000;570 000
SC1;1 603 000;6 091 400
ETR1;220 000;836 000
Sultan RS;65 000;247 000
T20;300 000;1 140 000
Turismo R;350 000;1 330 000
Tyrus;600 000;2 280 000
Vacca;120 000;456 000
Visione;2 250 000;8 550 000
Voltic;90 000;342 000
Voltic 2;3 830 400;14 555 520
Zentorno;1 500 000;5 700 000
